rank,enabled,tmdb_id,slug,title,puzzle_file
1,1,1396,breaking-bad,Breaking Bad,1396-breaking-bad.json
2,0,1429,attack-on-titan,Attack on Titan,1429-attack-on-titan.json
3,1,1399,game-of-thrones,Game of Thrones,1399-game-of-thrones.json
4,1,1398,the-sopranos,The Sopranos,1398-the-sopranos.json
5,0,246,avatar:-the-last-airbender,Avatar: The Last Airbender,246-avatar-the-last-airbender.json
6,1,1438,the-wire,The Wire,1438-the-wire.json
7,1,60059,better-call-saul,Better Call Saul,60059-better-call-saul.json
8,0,94605,arcane,Arcane,94605-arcane.json
9,1,2316,the-office,The Office,2316-the-office.json
10,1,1668,friends,Friends,1668-friends.json
11,0,31911,fullmetal-alchemist:-brotherhood,Fullmetal Alchemist: Brotherhood,31911-fullmetal-alchemist-brotherhood.json
12,1,60625,rick-and-morty,Rick and Morty,60625-rick-and-morty.json
13,0,37854,one-piece,One Piece,37854-one-piece.json
14,1,1400,seinfeld,Seinfeld,1400-seinfeld.json
15,1,19885,sherlock,Sherlock,19885-sherlock.json
16,1,1408,house,House,1408-house.json
17,1,76331,succession,Succession,76331-succession.json
18,1,2710,it's-always-sunny-in-philadelphia,It's Always Sunny in Philadelphia,2710-it-s-always-sunny-in-philadelphia.json
19,1,1405,dexter,Dexter,1405-dexter.json
20,1,70523,dark,Dark,70523-dark.json
21,1,60574,peaky-blinders,Peaky Blinders,60574-peaky-blinders.json
22,0,61889,marvel's-daredevil,Daredevil,61889-marvel-s-daredevil.json
23,0,124411,aspirants,Aspirants,124411-aspirants.json
24,1,60622,fargo,Fargo,60622-fargo.json
25,1,62560,mr.-robot,Mr. Robot,62560-mr-robot.json
26,0,13916,death-note,Death Note,13916-death-note.json
27,1,63351,narcos,Narcos,63351-narcos.json
28,1,61222,bojack-horseman,BoJack Horseman,61222-bojack-horseman.json
29,1,1104,mad-men,Mad Men,1104-mad-men.json
30,0,46298,hunter-x-hunter,Hunter x Hunter,46298-hunter-x-hunter.json
31,1,66732,stranger-things,Stranger Things,66732-stranger-things.json
32,1,97546,ted-lasso,Ted Lasso,97546-ted-lasso.json
34,1,1411,person-of-interest,Person of Interest,1411-person-of-interest.json
35,0,40075,gravity-falls,Gravity Falls,40075-gravity-falls.json
36,1,67136,this-is-us,This Is Us,67136-this-is-us.json
37,1,88803,vinland-saga,Vinland Saga,88803-vinland-saga.json
38,1,1409,sons-of-anarchy,Sons of Anarchy,1409-sons-of-anarchy.json
39,0,40417,leyla-and-mecnun,Leyla and Mecnun,40417-leyla-and-mecnun.json
40,1,2190,south-park,South Park,2190-south-park.json
41,1,1437,firefly,Firefly,1437-firefly.json
42,1,76479,the-boys,The Boys,76479-the-boys.json
43,1,85077,the-chosen,The Chosen,85077-the-chosen.json
44,1,4546,curb-your-enthusiasm,Curb Your Enthusiasm,4546-curb-your-enthusiasm.json
45,1,1622,supernatural,Supernatural,1622-supernatural.json
46,1,46648,true-detective,True Detective,46648-true-detective.json
47,1,95557,invincible,Invincible,95557-invincible.json
48,1,4607,lost,Lost,4607-lost.json
49,1,33907,downton-abbey,Downton Abbey,33907-downton-abbey.json
50,1,37680,suits,Suits,37680-suits.json
51,1,40008,hannibal,Hannibal,40008-hannibal.json
52,0,95479,jujutsu-kaisen,Jujutsu Kaisen,95479-jujutsu-kaisen.json
53,1,259909,dexter:-resurrection,Dexter: Resurrection,259909-dexter-resurrection.json
54,1,1274,six-feet-under,Six Feet Under,1274-six-feet-under.json
55,0,101352,panchayat,Panchayat,101352-panchayat.json
56,1,82856,the-mandalorian,The Mandalorian,82856-the-mandalorian.json
57,1,1621,boardwalk-empire,Boardwalk Empire,1621-boardwalk-empire.json
58,0,117648,clarkson's-farm,Clarkson's Farm,117648-clarkson-s-farm.json
59,1,63333,the-last-kingdom,The Last Kingdom,63333-the-last-kingdom.json
60,1,65494,the-crown,The Crown,65494-the-crown.json
61,0,85937,demon-slayer:-kimetsu-no-yaiba,Demon Slayer: Kimetsu no Yaiba,85937-demon-slayer-kimetsu-no-yaiba.json
62,1,8592,parks-and-recreation,Parks and Recreation,8592-parks-and-recreation.json
63,1,34307,shameless,Shameless,34307-shameless.json
64,1,688,the-west-wing,The West Wing,688-the-west-wing.json
65,1,18347,community,Community,18347-community.json
66,1,1425,house-of-cards,House of Cards,1425-house-of-cards.json
67,0,2098,batman:-the-animated-series,Batman: The Animated Series,2098-batman-the-animated-series.json
68,1,2382,freaks-and-geeks,Freaks and Geeks,2382-freaks-and-geeks.json
69,0,30991,cowboy-bebop,Cowboy Bebop,30991-cowboy-bebop.json
70,1,4589,arrested-development,Arrested Development,4589-arrested-development.json
71,1,2288,prison-break,Prison Break,2288-prison-break.json
72,1,44217,vikings,Vikings,44217-vikings.json
73,1,250307,the-pitt,The Pitt,250307-the-pitt.json
74,1,83867,andor,Andor,83867-andor.json
75,1,1920,twin-peaks,Twin Peaks,1920-twin-peaks.json
76,1,1973,24,24,1973-24.json
77,1,73586,yellowstone,Yellowstone,73586-yellowstone.json
78,1,1891,rome,Rome,1891-rome.json
79,1,1972,battlestar-galactica,Battlestar Galactica,1972-battlestar-galactica.json
80,1,63247,westworld,Westworld,63247-westworld.json
81,1,95396,severance,Severance,95396-severance.json
82,0,46296,spartacus,Spartacus,46296-spartacus.json
83,1,1436,justified,Justified,1436-justified.json
84,1,63639,the-expanse,The Expanse,63639-the-expanse.json
85,1,67744,mindhunter,Mindhunter,67744-mindhunter.json
87,1,1705,fringe,Fringe,1705-fringe.json
88,1,136315,the-bear,The Bear,136315-the-bear.json
89,1,70796,the-marvelous-mrs.-maisel,The Marvelous Mrs. Maisel,70796-the-marvelous-mrs-maisel.json
90,1,3322,oz,Oz,3322-oz.json
91,1,42009,black-mirror,Black Mirror,42009-black-mirror.json
92,0,60694,last-week-tonight-with-john-oliver,Last Week Tonight with John Oliver,60694-last-week-tonight-with-john-oliver.json
93,1,69740,ozark,Ozark,69740-ozark.json
94,1,1100,how-i-met-your-mother,How I Met Your Mother,1100-how-i-met-your-mother.json
95,0,31724,code-geass:-lelouch-of-the-rebellion,Code Geass,31724-code-geass-lelouch-of-the-rebellion.json
96,1,48891,brooklyn-nine-nine,Brooklyn Nine-Nine,48891-brooklyn-nine-nine.json
97,1,77169,cobra-kai,Cobra Kai,77169-cobra-kai.json
98,1,1421,modern-family,Modern Family,1421-modern-family.json
99,1,1407,homeland,Homeland,1407-homeland.json
100,1,46896,the-originals,The Originals,46896-the-originals.json
101,1,224372,a-knight-of-the-seven-kingdoms,A Knight of the Seven Kingdoms,224372-a-knight-of-the-seven-kingdoms.json
102,1,56570,outlander,Outlander,56570-outlander.json
103,0,33217,young-justice,Young Justice,33217-young-justice.json
104,0,31132,regular-show,Regular Show,31132-regular-show.json
105,0,67178,marvel's-the-punisher,The Punisher,67178-marvel-s-the-punisher.json
106,0,89113,kota-factory,Kota Factory,89113-kota-factory.json
107,0,72,only-fools-and-horses,Only Fools and Horses,72-only-fools-and-horses.json
108,1,4087,the-x-files,The X-Files,4087-the-x-files.json
109,1,1414,the-shield,The Shield,1414-the-shield.json
110,1,67070,fleabag,Fleabag,67070-fleabag.json
111,1,4556,scrubs,Scrubs,4556-scrubs.json
112,1,1940,entourage,Entourage,1940-entourage.json
113,1,15621,the-newsroom,The Newsroom,15621-the-newsroom.json
114,0,209867,frieren:-beyond-journey's-end,Frieren: Beyond Journey's End,209867-frieren-beyond-journey-s-end.json
115,1,10283,archer,Archer,10283-archer.json
116,0,41727,banshee,Banshee,41727-banshee.json
117,0,67557,the-grand-tour,The Grand Tour,67557-the-grand-tour.json
118,1,1406,deadwood,Deadwood,1406-deadwood.json
119,0,275204,dhindora,Dhindora,275204-dhindora.json
120,0,42509,steins;gate,Steins;Gate,42509-steins-gate.json
121,1,60573,silicon-valley,Silicon Valley,60573-silicon-valley.json
122,0,126308,shōgun,Shōgun,126308-sh-gun.json
